anomaly_class,match_key,title_as_printed,appears_in,resolved_by,disposition,note
variant form,onefordaddyo,One For Daddy-O,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,onefordaddyo,One for Daddy-O,survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,oneoclockjump,One O'Clock Jump,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,oneoclockjump,One O'clock Jump,ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,onthesunnysideofthestreet,On The Sunny Side Of The Street,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,onthesunnysideofthestreet,On the Sunny Side of the Street,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,outofnowhere,Out Of Nowhere,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,outofnowhere,Out of Nowhere,Index; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,penniesfromheaven,Pennies From Heaven,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,penniesfromheaven,Pennies from Heaven,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,pentuphouse,Pent Up House,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,pentuphouse,Pent-Up House,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,pfrancing,No Blues (AKA Pfrancing),chapter,AKA parsing,fold to match_key,one composition printed 3 ways across the sources
variant form,pfrancing,No Blues (Pfrancing),survey cat,declared fold,fold to match_key,one composition printed 3 ways across the sources
variant form,pfrancing,Pfrancing (No Blues),Index,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,polkadotsandmoonbeams,Polka Dots And Moonbeams,log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,polkadotsandmoonbeams,Polka Dots and Moonbeams,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,preludetoakiss,Prelude To A Kiss,log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,preludetoakiss,Prelude to a Kiss,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,recordame,Recorda me,survey L1; survey graded,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,recordame,Recordame,log; log 201,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,recordame,Recordame (AKA No Me Esqueca),Index; chapter,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,relaxinatcamarillo,Relaxin' At Camarillo,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,relaxinatcamarillo,Relaxin' at Camarillo,survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,rhythmaning,Rhythm A Ning,log,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,rhythmaning,Rhythm-A-Ning,Index; ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,rhythmaning,Rhythm-a-ning,survey cat,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,roundmidnight,'Round Midnight,Index; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,roundmidnight,Round Midnight,log; log 201; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,saintlouisblues,St Louis Blues,ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,saintlouisblues,St. Louis Blues,Index; survey cat; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,saintthomas,St Thomas,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,saintthomas,St. Thomas,Index; log 201; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,sambadeorfeu,Samba De Orfeu,Index; log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,sambadeorfeu,Samba De Orpheus,chapter,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,scrapplefromtheapple,Scrapple From The Apple,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,scrapplefromtheapple,Scrapple from the Apple,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,secretlove,My Secret Love,log,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,secretlove,Secret Love,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,senorblues,Senor Blues,survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,senorblues,Señor Blues,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,serpentstooth,"Serpent's Tooth, The",survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,serpentstooth,The Serpent's Tooth,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,sevenstepstoheaven,Seven Steps To Heaven,Index; chapter; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,sevenstepstoheaven,Seven Steps to Heaven,survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,shadowofyoursmile,Shadow Of The Smile,log 201,declared fold,fold to match_key,one composition printed 4 ways across the sources
variant form,shadowofyoursmile,Shadow of Your Smile,survey L1,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,shadowofyoursmile,"Shadow of Your Smile, The",survey graded,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,shadowofyoursmile,The Shadow of Your Smile,Index; ranking,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,shawnuff,Shaw 'Nuff,survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,shawnuff,Shaw Nuff,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,sippinatbells,Sippin' At Bell's,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,sippinatbells,Sippin' at Bells,survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,softlyasinamorningsunrise,Softly As In A Morning Sunrise,log; log 201,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,softlyasinamorningsunrise,Softly As in a Morning Sunrise,Index; ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,softlyasinamorningsunrise,Softly as in a Morning Sunrise,survey L1; survey graded,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,solid,Solid,chapter; log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,solid,Solid (Shaw),Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,somedaymyprincewillcome,Some Day My Prince Will Come,log; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,somedaymyprincewillcome,Someday My Prince Will Come,Index; log 201; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,someonetowatchoverme,Someone To Watch Over Me,log 201; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,someonetowatchoverme,Someone to Watch Over Me,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,songformyfather,Song For My Father,Index; chapter; log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,songformyfather,Song for My Father,survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,songisyou,"Song is You, The",survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,songisyou,The Song Is You,Index; log 201; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,sonnymoonfortwo,Sonnymoon For Two,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,sonnymoonfortwo,Sonnymoon for Two,survey L2; survey cat; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,stardust,Star Dust,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,stardust,Stardust,log 201; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,starsfellonalabama,Stars Fell On Alabama,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,starsfellonalabama,Stars Fell on Alabama,ranking; residue C,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,stellabystarlight,Stella By Starlight,Index; log; log 201; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,stellabystarlight,Stella by Starlight,survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,stompinatthesavoy,Stompin At The Savoy,log 201,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,stompinatthesavoy,Stompin' At The Savoy,log,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,stompinatthesavoy,Stompin' At the Savoy,ranking,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,stompinatthesavoy,Stompin' at the Savoy,Index; survey L2; survey graded,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,stormyweather,Stormy Weather,Index; log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,stormyweather,Stormy Weather (Keeps Rainin' All the Time),ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,sugar,Sugar,Index; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,sugar,Sugar (That Sugar Baby O' Mine),ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,sugarfootstomp,Sugar Foot Stomp,ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,sugarfootstomp,Sugar Foot Stomp (Dippermouth Blues),Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,surreywiththefringeontop,The Surrey with the Fringe On Top,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,surreywiththefringeontop,The Surrey with the Fringe on Top,ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,swonderful,'S Wonderful!,ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,swonderful,S Wonderful!,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,takefive,Take 5,survey L2; survey graded,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,takefive,Take Five,Index; log; log 201; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,taketheatrain,Take The A Train,log; log 201,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,taketheatrain,"Take the ""A"" Train",Index; ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,taketheatrain,Take the 'A' Train,survey L1; survey graded,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,takingachanceonlove,Taking A Chance On Love,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,takingachanceonlove,Taking a Chance on Love,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,teachmetonight,Teach Me Tonight,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,teachmetonight,Teach me Tonight,ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,theme,The Theme,chapter; residue B,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,theme,"Theme, The",survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,therewillneverbeanotheryou,There Will Never Be Another You,Index; log; log 201; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,therewillneverbeanotheryou,There Will Never be Another You,survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,theycanttakethatawayfromme,Can't Take That Away From Me,log,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,theycanttakethatawayfromme,They Can't Take That Away from Me,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,thingsaintwhattheyusedtobe,Things Ain't What They Used To Be,log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,thingsaintwhattheyusedtobe,Things Ain't What They Used to Be,Index; ranking; survey L2; survey cat; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,thinkofone,Think Of One,chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,thinkofone,Think of One,residue B,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,ticotico,Tico Tico,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,ticotico,Tico Tico (Tico No Fuba),ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,tonesforjoansbones,Tones For Joan's Bones,chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,tonesforjoansbones,Tones for Joan's Bones,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,tuneup,Tune Up,Index; log 201; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,tuneup,Tune up,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,unitseven,Unit 7,survey cat,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,unitseven,Unit Seven,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,uppermanhattanmedicalgroup,Upper Manhattan Medical Group,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,uppermanhattanmedicalgroup,Upper Manhattan Medical Group (UMMG),ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,waltzfordebby,Waltz for Debbie,survey graded,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,waltzfordebby,Waltz for Debby,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,wayyoulooktonight,The Way You Look Tonight,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,wayyoulooktonight,"Way You Look Tonight, The",log 201; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,weaverofdreams,(You're A) Weaver Of Dreams,residue B,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,weaverofdreams,(You’re a) Weaver Of Dreams,chapter,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,weaverofdreams,Weaver Of Dreams,log,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,whatadifferenceadaymade,What A Difference A Day Makes,log,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,whatadifferenceadaymade,What a Difference a Day Made,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,whatalittlemoonlightcando,(Ooh) What a Little Moonlight Can Do,ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,whatalittlemoonlightcando,What A Little Moonlight Can Do,log,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,whatalittlemoonlightcando,What a Little Moonlight Can Do,Index,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,whatawonderfulworld,What A Wonderful World,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,whatawonderfulworld,What a Wonderful World,ranking; residue C,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,whatisthisthingcalledlove,What Is This Thing Called Love,log,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,whatisthisthingcalledlove,What Is This Thing Called Love?,Index; log 201; ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,whatisthisthingcalledlove,What is This Thing Called Love?,survey L1; survey graded,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,whatsnew,What's New,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,whatsnew,What's New?,Index; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,whenifallinlove,When I Fall In Love,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,whenifallinlove,When I Fall in Love,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,whenthesaintsgomarchingin,When The Saints Go Marching In,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,whenthesaintsgomarchingin,When the Saints Go Marching In,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,whenwillthebluesleave,When Will The Blues Leave?,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,whenwillthebluesleave,When Will the Blues Leave,survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,whocaniturnto,Who Can I Turn To,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,whocaniturnto,Who Can I Turn To?,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,willowweepforme,Willow Weep For Me,Index; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,willowweepforme,Willow Weep for Me,ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,withasonginmyheart,With A Song In My Heart,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,withasonginmyheart,With a Song in My Heart,ranking; residue C,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,wivesandlovers,Wives and Lovers,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,wivesandlovers,Wives and Lovers (Hey Little Girl),ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,yesorno,Yes Or No,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,yesorno,Yes or No,survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,youdbesonicetocomehometo,You'd Be So Nice to Come Home To,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,youdbesonicetocomehometo,You'd be so Nice to Come Home To,survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,yourascalyou,(I'll Be Glad When You're Dead) You Rascal You,ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,yourascalyou,You Rascal You (I'll Be Glad When You're Dead),Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,youredrivingmecrazy,You're Driving Me Crazy (What Did I Do?,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,youredrivingmecrazy,You're Driving Me Crazy (What Did I Do?),ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,yousteppedoutofadream,You Stepped Out Of A Dream,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,yousteppedoutofadream,You Stepped Out of a Dream,Index; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
declared fold,indiana,backhomeagaininindiana,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,manhadecarnaval,blackorpheus,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,bolivarblues,bluebolivarblues,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,bluetrane,bluetrain,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,canthelplovindatman,canthelplovinthatman,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,theycanttakethatawayfromme,canttakethatawayfromme,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,nomoreblues,chegadesaudade,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,donothintillyouhearfromme,donothingtillyouhearfromme,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,eastofthesun,eastofthesunandwestofthemoon,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,freddiefreeloader,freddiethefreeloader,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,georgiaonmymind,georgia,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,inamellotone,inamellowtone,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,jodygrind,jodiegrind,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,jumpinatthewoodside,jumponatthewoodside,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,myfavoritethings,myfavouritethings,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,secretlove,mysecretlove,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,pfrancing,noblues,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,loveisheretostay,ourloveisheretostay,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,sambadeorfeu,sambadeorpheus,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,shadowofyoursmile,shadowofthesmile,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,takefive,take5,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,unitseven,unit7,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,waltzfordebby,waltzfordebbie,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,allensalley,wee,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,wellyouneednt,wellyouneedent,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
declared fold,whatadifferenceadaymade,whatadifferenceadaymakes,alias map,declared fold,fold to match_key,not derivable by normalization; must be declared
refused join,iloveyou | psiloveyou,I Love You | P.S. I Love You,multiple,manual,DO NOT FOLD,distinct compositions; a fuzzy matcher takes this pair
refused join,yesterday | yesterdays,Yesterday | Yesterdays,multiple,manual,DO NOT FOLD,Lennon-McCartney against Kern
refused join,smile | smiles,Smile | Smiles,multiple,manual,DO NOT FOLD,Chaplin 1936 against the 1917 song
refused join,margie | marie,Margie | Marie,multiple,manual,DO NOT FOLD,unrelated
refused join,itswonderful | swonderful,It's Wonderful | 'S Wonderful!,multiple,manual,DO NOT FOLD,unrelated Gershwin and non-Gershwin
refused join,onceiloved | oneilove,Once I Loved | The One I Love (Belongs to Somebody Else),multiple,manual,DO NOT FOLD,unrelated
refused join,reflections | reflectionsind,Reflections | Reflections In D,multiple,manual,DO NOT FOLD,Monk against Ellington
refused join,prancing | pfrancing,Prancing | Pfrancing,multiple,manual,DO NOT FOLD,"close enough to notice, not close enough to merge; panel folding rule"
"one name, two works",milestones,"Milestones (1958, modal)",Index; ranking,manual,seat separately,"the ranking carries the modal composition, which is seated at List 1A"
"one name, two works",milestones,Milestones (old) (1947 line),chapter; residue B,manual,seat separately,declined at Appendix B #125; the survey prints its own entry as Milestones (new)
"one name, two works",theme,The Theme,residue B,manual,UNRESOLVED,printed as a decline at Appendix B #204 and also as the AKA of 52nd Street Theme at List 3 #126
source defect,take5,Take 5,survey L2,manual,key as printed,the survey prints 03 in a list whose stated floor is five; exclude explicitly at any five-threshold
source defect,fourinone,Four in One,survey L2,manual,key as printed,the survey prints 01 in a list whose stated floor is five
source defect,bettergethitinyoursoul,Better Get Hit In Your Soul,log,manual,key as printed,the log's spelling; Mingus prints Better Git It in Your Soul
extraction hazard,baluebolivarbaluesare,Ba-lue Bolivar Ba-lues-are (AKA Bolivar Blues),chapter; Index,manual,read the full entry,"long AKA wraps; truncates to ""(AKA"" if continuation lines are dropped"
extraction hazard,recordame,Recordame (AKA No Me Esqueca),chapter; Index,manual,read the full entry,long AKA wraps
extraction hazard,nostalgiaintimessquare,Nostalgia In Times Square,chapter; Index,manual,read the full entry,"wraps after ""Times"""
extraction hazard,manhadecarnaval,"Manha De Carnaval (AKA Morning Of The Carnival, The Theme From Black Orpheus, and A Day In The Life Of A Fool)",chapter; Index,manual,read the full entry,the longest entry in the Index; wraps three ways
